Iteration,Wolf_ID,X,Y,Fitness,Role
18,6,0.898187,0.750805,273.068,omega
18,7,0.985315,1.31273,39.8549,omega
18,8,0.607732,0.420798,50.0745,omega
18,9,1.11202,1.49447,18.4928,omega
18,10,1.08847,0.777333,256.861,omega
18,11,0.31129,1.26041,90.6226,omega
18,12,1.15657,0.85637,143.162,omega
18,13,0.704761,0.648808,35.7637,omega
18,14,0.777739,1.59299,854.066,omega
18,15,0.468803,0.973964,167.943,omega
18,16,1.85056,1.13744,0.312627,omega
18,17,0.64665,1.07474,12.1295,omega
18,18,1.32996,-0.00772842,277.605,omega
18,19,0.792501,0.745313,17.7838,omega
18,20,0.920269,0.502817,7.49028,omega
18,21,1.12027,0.759193,0.910925,omega
18,22,1.13006,0.996167,160.926,omega
18,23,1.50498,0.42182,0.960241,omega
18,24,0.955867,0.960427,12.6011,omega
18,25,1.42027,0.753429,43.2953,omega
18,26,0.762716,0.970994,50.1941,omega
18,27,1.38305,1.10446,2.74549,omega
18,28,0.102543,0.609905,7.13095,omega
18,29,1.67301,0.990478,5.89132,omega
18,30,0.792652,0.848792,78.0709,omega
19,1,1.28803,1.1843,23.3087,omega
19,2,0.626254,0.841829,48.4514,omega
19,3,1.53751,0.662155,114.301,omega
19,4,1.30379,1.25861,162.556,omega
19,5,0.801006,1.36255,34.5166,omega
19,6,0.863605,1.06427,0.323228,omega
19,7,1.07343,1.12763,11.6887,omega
19,8,0.77683,1.53051,0.41869,omega
19,9,1.27056,0.40635,6.66278,omega
19,10,0.775715,1.21981,16.6073,omega
19,11,1.19229,1.17889,135.85,omega
19,12,0.454327,0.777294,23.1884,omega
19,13,1.29289,1.49949,2.40124,omega
19,14,1.20234,0.962641,97.6858,omega
19,15,1.05801,0.0855765,57.1621,omega
19,16,2.23953,1.00883,523.826,omega
19,17,1.83233,1.17322,43.2356,omega
19,18,0.368811,2.12413,315.711,omega
19,19,1.28568,1.23885,1.41793,omega
19,20,1.04028,0.517029,11.8453,omega
19,21,1.06479,1.56069,24.5965,omega
19,22,1.08825,0.499259,7.9058,omega
19,23,0.813981,1.22206,339.972,omega
19,24,1.61549,1.20309,0.22046,omega
19,25,0.945053,0.734802,159.877,omega
19,26,1.62591,0.664607,15.2086,omega
19,27,0.99246,1.62616,65.4942,omega
19,28,1.56171,0.824489,36.7323,omega
19,29,0.942198,0.33218,327.515,omega
19,30,0.531294,1.28775,4.90482,omega
20,1,1.09871,1.027,22.6183,omega
20,2,0.97388,0.951307,20.3569,omega
20,3,-0.282475,1.41429,289.893,omega
20,4,0.774071,1.40428,19.5633,omega
20,5,0.725477,1.39892,52.0142,omega
20,6,1.49154,1.21554,10.1603,omega
20,7,0.733421,0.729282,0.0659909,omega
20,8,0.712071,0.187964,85.9907,omega
20,9,1.30434,1.49851,145.992,omega
20,10,1.77105,0.509548,38.2524,omega
20,11,0.548044,0.862283,5.92508,omega
20,12,1.22879,0.969455,32.8883,omega
20,13,1.02036,1.11134,3.04718,omega
20,14,0.728269,1.39226,23.3689,omega
20,15,0.812674,1.21367,106.88,omega
20,16,1.95578,1.19137,1606.86,omega
20,17,0.866678,1.40809,477.773,omega
20,18,1.16643,0.799309,395.654,omega
20,19,1.35152,0.321567,17.2317,omega
20,20,0.911677,1.37119,31.9423,omega
20,21,1.191,0.507077,18.2297,omega
20,22,1.03254,1.40553,46.9347,omega
20,23,1.12377,0.843103,31.3384,omega
20,24,1.2801,1.20388,198.267,omega
20,25,1.32965,1.31975,2.50963,omega
20,26,1.12042,1.28238,392.031,omega
20,27,1.31999,0.964505,41.1112,omega
20,28,0.458792,1.02999,260.956,omega
20,29,1.03792,1.42722,30.8676,omega
20,30,1.07374,0.406039,101.318,omega
21,1,1.40403,1.10306,3.25579,omega
21,2,1.10461,1.51299,0.00150359,omega
21,3,0.895575,0.925655,179.734,omega
21,4,0.62375,1.1048,64.8683,omega
21,5,0.937459,1.04314,76.2193,omega
21,6,0.528163,1.38708,102.082,omega
21,7,1.25124,0.668641,3.73354,omega
21,8,0.725289,1.6426,10.2642,omega
21,9,1.54225,0.97893,4.20478,omega
21,10,1.24793,1.36166,690.75,omega
21,11,1.41556,0.737313,31.7809,omega
21,12,0.792715,1.39573,29.2622,omega
21,13,0.806305,1.00377,0.493326,omega
21,14,1.04631,0.676004,74.3586,omega
21,15,0.764368,0.876004,30.6416,omega
21,16,0.688089,0.326376,694.562,omega
21,17,1.64086,1.0953,43.1775,omega
21,18,1.37044,1.15601,31.5267,omega
21,19,1.05809,0.818705,226.64,omega
21,20,1.08092,1.57376,29.1719,omega
21,21,1.45314,1.08647,83.1008,omega
21,22,0.818412,1.29785,11.5194,omega
21,23,0.956797,0.923048,17.6339,omega
21,24,1.07233,1.64375,18.9812,omega
21,25,1.23101,1.0687,20.1993,omega
21,26,0.805442,1.5395,0.0876158,omega
21,27,1.59167,1.46004,60.6084,omega
21,28,1.45172,1.26189,67.4514,omega
21,29,0.618402,1.20419,12.2469,omega
